File Type,File Size,Encryption Time,Decryption Time
mp4,35926,0.009172,0.001992
mp4,47672,0.003027,0.005788
mp4,42943,0.001992,0.00745
mp4,35926,0.001993,0.006501
mp4,14845,0.007677,0.001993
mp4,14088,0.001993,0.001991
mp4,20347,0.00299,0.001993
mp4,18817,0.004024,0.005595
mp4,44473,0.008119,0.001993
mp4,35926,0.007785,0.007172
mp4,39883,0.006981,0.008977
mp4,45246,0.008471,0.009635
mp4,41413,0.007823,0.009974
mp4,44473,0.009035,0.00806
mp4,32866,0.005651,0.007086
mp4,14845,0.006981,0.008486
mp4,13315,0.007845,0.009864
mp4,21104,0.008457,0.0077
mp4,44473,0.00798,0.009973
mp4,34396,0.006662,0.012088
mp4,20347,0.006641,0.001994
mp4,15618,0.000996,0.012398
mp4,50732,0.007238,0.008919
mp4,42186,0.007809,0.000997
mp4,11028,0.006433,0.002991
mp4,20347,0.001993,0.011137
mp4,43716,0.004471,0.008238
mp4,30424,0.000996,0.009093
mp4,20347,0.009036,0.007239
mp4,34396,0.001993,0.014775
mp4,29667,0.001994,0.011304
mp4,26607,0.0,0.016094
mp4,46915,0.001993,0.007556
mp4,32866,0.001993,0.006452
mp4,32093,0.001993,0.007276
mp4,40656,0.001994,0.007534
mp4,54705,0.007507,0.016554
mp4,36683,0.009791,0.017696
mp4,54705,0.012727,0.009974
mp4,12558,0.008677,0.013192
mp4,48445,0.008363,0.009275
mp4,29667,0.008087,0.009406
mp4,45246,0.001506,0.014689
mp4,28137,0.007057,0.002992
mp4,36683,0.001998,0.024709
mp4,41413,0.007528,0.010917
mp4,42943,0.007398,0.009315
mp4,18044,0.001994,0.00877
mp4,44473,0.001993,0.007726
mp4,27364,0.001992,0.006715
mp4,22634,0.000995,0.009553
mp4,47672,0.001993,0.007644
mp4,18817,0.001993,0.007687
mp4,18044,0.001992,0.006748
mp4,41413,0.015751,0.000997
mp4,48445,0.001993,0.007754
mp4,47672,0.01067,0.008002
mp4,53932,0.000996,0.010884
mp4,28894,0.009183,0.011869
mp4,18817,0.001992,0.00873
mp4,18817,0.007299,0.008241
mp4,49202,0.004911,0.011823
mp4,49202,0.003021,0.005502
mp4,18044,0.006009,0.002499
mp4,26607,0.003031,0.016588
mp4,25077,0.005738,0.010468
mp4,46915,0.001417,0.012551
mp4,54705,0.008655,0.012909
mp4,12558,0.000997,0.007886
mp4,39883,0.012536,0.004862
mp4,11028,0.010064,0.010415
mp4,13315,0.003989,0.015203
mp4,11785,0.001994,0.009493
mp4,12558,0.00703,0.010989
mp4,37456,0.001506,0.010862
mp4,29667,0.007189,0.00423
mp4,11785,0.001994,0.00966
mp4,20347,0.010685,0.003682
mp4,14088,0.003244,0.005613
mp4,29667,0.002589,0.005721
mp4,49975,0.001995,0.012119
mp4,21104,0.012497,0.009776
mp4,18817,0.001993,0.010657
mp4,36683,0.010089,0.001996
mp4,52262,0.009997,0.013783
mp4,19574,0.001992,0.017723
mp4,13315,0.007978,0.010971
mp4,25077,0.007979,0.008975
mp4,11785,0.003989,0.007979
mp4,36683,0.005543,0.006792
mp4,46915,0.002817,0.011856
mp4,40656,0.00785,0.012966
mp4,25834,0.00619,0.008437
mp4,37456,0.004525,0.009029
mp4,15618,0.004934,0.008607
mp4,54705,0.006353,0.013469
mp4,22634,0.005984,0.005983
mp4,36683,0.006456,0.00585
mp4,22634,0.004988,0.004986
mp4,52262,0.001995,0.005581
