File Type,File Size,Encryption Time,Decryption Time
png,1935,0.006699,0.004517
png,2325,0.006905,0.008843
png,1928,0.000997,0.006727
png,2014,0.004936,0.004667
png,1281,0.006688,0.005039
png,3323,0.0051,0.00566
png,2639,0.006077,0.003983
png,3264,0.007552,0.003947
png,4447,0.005106,0.005611
png,3484,0.005681,0.005051
png,4003,0.006129,0.00544
png,4202,0.0054,0.004535
png,3884,0.005444,0.005032
png,1627,0.006817,0.006578
png,2700,0.008606,0.005544
png,1026,0.009866,0.005418
png,3806,0.005032,0.006393
png,2828,0.00697,0.005481
png,2538,0.007261,0.006629
png,3007,0.006245,0.006568
png,2611,0.007366,0.005587
png,2557,0.007078,0.004445
png,3042,0.006086,0.006544
png,2866,0.012656,0.007783
png,761,0.007237,0.005219
png,4092,0.006028,0.007979
png,4812,0.008976,0.008976
png,1203,0.006982,0.006981
png,4291,0.006551,0.005417
png,3485,0.005983,0.00541
png,3709,0.000998,0.007923
png,854,0.00099,0.017702
png,2687,0.020781,0.002532
png,2008,0.006312,0.00569
png,1684,0.007006,0.002082
png,3816,0.001995,0.007356
png,3845,0.001993,0.006464
png,1751,0.008756,0.00671
png,1756,0.014744,0.007654
png,1491,0.00299,0.005138
png,4273,0.008021,0.004422
png,1042,0.012536,0.004906
png,1987,0.009568,0.005562
png,1542,0.005969,0.006466
png,922,0.007872,0.006671
png,1949,0.001993,0.004761
png,1685,0.001993,0.007391
png,1282,0.008256,0.001994
png,3212,0.001993,0.0
png,2096,0.016137,0.006135
png,2459,0.009026,0.007194
png,2395,0.007965,0.017001
png,1442,0.001993,0.013276
png,3313,0.001994,0.006122
png,1126,0.001994,0.00781
png,1937,0.001995,0.013313
png,2024,0.001995,0.214871
png,1628,0.004304,0.009716
png,836,0.006426,0.003019
png,1465,0.000996,0.001994
png,1963,0.001995,0.001992
png,2362,0.001994,0.014085
png,961,0.007708,0.001991
png,4607,0.001992,0.006318
png,4923,0.001993,0.001994
png,3720,0.001994,0.001992
png,2289,0.008592,0.008654
png,1352,0.002141,0.002993
png,2396,0.001594,0.001996
png,2959,0.001992,0.001995
png,1577,0.006858,0.000998
png,2862,0.001333,0.007087
png,1384,0.000997,0.001994
png,1132,0.00147,0.004378
png,2388,0.001396,0.007037
png,2023,0.001627,0.008378
png,1873,0.001965,0.005985
png,2149,0.000668,0.007168
png,4152,0.006795,0.006776
png,1083,0.001183,0.005799
png,2884,0.000622,0.005984
png,2479,0.001996,0.001994
png,1546,0.001415,0.001994
png,2186,0.001406,0.001994
png,3304,0.000996,0.001994
png,4306,0.007127,0.00765
png,3400,0.001994,0.00798
png,1327,0.005856,0.007158
png,1257,0.001816,0.006445
png,3214,0.003529,0.005916
png,2086,0.000997,0.007117
png,2127,0.000997,0.002006
png,1528,0.000997,0.003989
png,1641,0.001994,0.001995
png,2501,0.001992,0.018206
png,1702,0.000996,0.011262
png,1666,0.001593,0.000996
png,1942,0.001616,0.00299
png,4384,0.001263,0.006069
png,2806,0.006061,0.001993
