File Type,File Size,Encryption Time,Decryption Time
txt,10066,0.001992,0.00299
txt,1020936,0.024355,0.020368
txt,111136,0.009894,0.01083
txt,1121799,0.020592,0.020492
txt,1223002,0.021786,0.021598
txt,1324168,0.026674,0.020402
txt,1425166,0.025786,0.039529
txt,1526282,0.030532,0.024065
txt,1627289,0.027553,0.043964
txt,1728254,0.02913,0.06279
txt,1829529,0.028724,0.027359
txt,1930559,0.033769,0.026495
txt,2031702,0.030491,0.025753
txt,212201,0.011708,0.018245
txt,2132589,0.031873,0.031924
txt,2233823,0.035067,0.034399
txt,2334905,0.034965,0.031755
txt,2435887,0.039451,0.077687
txt,2536984,0.040127,0.035255
txt,2638132,0.035408,0.083411
txt,2739131,0.034448,0.036668
txt,2840341,0.034079,0.030727
txt,2941397,0.03976,0.0317
txt,3042297,0.038091,0.039511
txt,313269,0.001202,0.021325
txt,3143576,0.039856,0.099643
txt,3244535,0.045606,0.042654
txt,3345667,0.042199,0.135057
txt,3446740,0.05261,0.039447
txt,3547805,0.04887,0.048631
txt,3648924,0.047474,0.067704
txt,3749790,0.054194,0.061222
txt,3851064,0.053378,0.055635
txt,3952058,0.056023,0.049876
txt,4053076,0.05839,0.051708
txt,414338,0.012836,0.003989
txt,4154226,0.067764,0.055487
txt,4255215,0.056814,0.055777
txt,4356327,0.057306,0.056644
txt,4457481,0.05931,0.054025
txt,4558627,0.0624,0.058511
txt,4659695,0.060314,0.090729
txt,4760692,0.06961,0.062385
txt,4861903,0.071989,0.169129
txt,4962874,0.06921,0.05247
txt,5063926,0.061636,0.156469
txt,515442,0.011855,0.015011
txt,5164975,0.057303,0.061148
txt,5265976,0.065158,0.064445
txt,5367175,0.071581,0.06626
txt,5468270,0.074106,0.061299
txt,5569451,0.075452,0.067065
txt,5670575,0.0765,0.096943
txt,5771621,0.077748,0.067656
txt,5872593,0.075799,0.159992
txt,5973743,0.076261,0.079636
txt,6074631,0.075759,0.07608
txt,616535,0.015429,0.013502
txt,6175786,0.082119,0.078453
txt,6276900,0.080953,0.088178
txt,6377919,0.099011,0.072072
txt,6478940,0.08032,0.068124
txt,6580173,0.074581,0.071937
txt,6681138,0.077448,0.085561
txt,6782180,0.095221,0.099291
txt,6883233,0.100471,0.211311
txt,6984532,0.121076,0.102094
txt,7085512,0.105324,0.09963
txt,717653,0.0197,0.017471
txt,7186741,0.09563,0.099871
txt,7287718,0.092504,0.089062
txt,7388971,0.095942,0.082933
txt,7489949,0.097021,0.091781
txt,7590991,0.096384,0.087073
txt,7692046,0.097818,0.088529
txt,7793125,0.100302,0.199715
txt,7893991,0.097386,0.086235
txt,7995218,0.093451,0.082035
txt,8096293,0.087551,0.1447
txt,818669,0.021325,0.015358
txt,8197338,0.102955,0.095127
txt,8298457,0.111262,0.098878
txt,8399478,0.11332,0.106002
txt,8500642,0.113519,0.109712
txt,8601751,0.120801,0.106025
txt,8702567,0.117253,0.112911
txt,8803842,0.118329,0.111089
txt,8904776,0.120802,0.120356
txt,9005876,0.124881,0.154328
txt,9107104,0.123993,0.125032
txt,919766,0.023935,0.023067
txt,9208064,0.148438,0.117685
txt,9309337,0.12367,0.105719
txt,9410198,0.119239,0.117347
txt,9511520,0.130962,0.121039
txt,9612396,0.154165,0.208
txt,9713759,0.138343,0.12775
txt,9814539,0.145749,0.139063
txt,9915595,0.136369,0.124027
txt,10017035,0.12961,0.133649
